track_id,start_frame,end_frame,num_points,detected_points,mean_confidence,start_time,end_time,duration_s,detected_ratio
1,1,810,810,810,0.9100560548128905,2026-06-01 00:00:00.000000000,2026-06-01 00:00:26.966666667,26.966666666666665,1.0
8,1,810,810,810,0.9056733750266793,2026-06-01 00:00:00.000000000,2026-06-01 00:00:26.966666667,26.966666666666665,1.0
29,47,810,764,764,0.9089616764122279,2026-06-01 00:00:01.533333332,2026-06-01 00:00:26.966666667,25.433333333333334,1.0
2,1,670,670,670,0.911870402097702,2026-06-01 00:00:00.000000000,2026-06-01 00:00:22.300000000,22.3,1.0
61,147,810,664,664,0.9003096085984305,2026-06-01 00:00:04.866666667,2026-06-01 00:00:26.966666667,22.1,1.0
37,60,718,659,659,0.8928389041394854,2026-06-01 00:00:01.966666667,2026-06-01 00:00:23.900000000,21.933333333333334,1.0
68,178,810,633,633,0.8936311727828136,2026-06-01 00:00:05.900000000,2026-06-01 00:00:26.966666667,21.066666666666666,1.0
89,240,810,571,571,0.9053458971234003,2026-06-01 00:00:07.966666667,2026-06-01 00:00:26.966666667,19.0,1.0
107,277,810,534,534,0.8950053705704792,2026-06-01 00:00:09.200000000,2026-06-01 00:00:26.966666667,17.766666666666666,1.0
52,131,657,527,527,0.9061575043359789,2026-06-01 00:00:04.333333333,2026-06-01 00:00:21.866666667,17.533333333333335,1.0
80,228,617,390,390,0.8719021410514147,2026-06-01 00:00:07.566666667,2026-06-01 00:00:20.533333332,12.966666666666667,1.0
32,54,435,382,382,0.8976366850718154,2026-06-01 00:00:01.766666667,2026-06-01 00:00:14.466666667,12.7,1.0
120,435,810,376,376,0.8948187224883982,2026-06-01 00:00:14.466666667,2026-06-01 00:00:26.966666667,12.5,1.0
108,281,554,274,274,0.8801883774517226,2026-06-01 00:00:09.333333333,2026-06-01 00:00:18.433333333,9.1,1.0
126,555,810,256,256,0.8993175653740764,2026-06-01 00:00:18.466666667,2026-06-01 00:00:26.966666667,8.5,1.0
45,107,352,246,246,0.8987947566722466,2026-06-01 00:00:03.533333332,2026-06-01 00:00:11.700000000,8.166666666666666,1.0
3,1,242,242,242,0.9048963996989667,2026-06-01 00:00:00.000000000,2026-06-01 00:00:08.033333333,8.033333333333333,1.0
130,569,810,242,242,0.875326271145797,2026-06-01 00:00:18.933333333,2026-06-01 00:00:26.966666667,8.033333333333333,1.0
111,349,567,219,219,0.85505050788187,2026-06-01 00:00:11.600000000,2026-06-01 00:00:18.866666667,7.266666666666667,1.0
25,41,232,192,192,0.8884583506733179,2026-06-01 00:00:01.333333333,2026-06-01 00:00:07.700000000,6.366666666666666,1.0
137,619,810,192,192,0.9012952605262399,2026-06-01 00:00:20.600000000,2026-06-01 00:00:26.966666667,6.366666666666666,1.0
103,267,441,175,175,0.8648164663996015,2026-06-01 00:00:08.866666667,2026-06-01 00:00:14.666666667,5.8,1.0
6,1,166,166,166,0.8738421357898827,2026-06-01 00:00:00.000000000,2026-06-01 00:00:05.500000000,5.5,1.0
127,564,717,154,154,0.8990629005741764,2026-06-01 00:00:18.766666667,2026-06-01 00:00:23.866666667,5.1,1.0
26,42,194,153,153,0.8936814841102151,2026-06-01 00:00:01.366666667,2026-06-01 00:00:06.433333333,5.066666666666666,1.0
143,670,810,141,141,0.901925876208231,2026-06-01 00:00:22.300000000,2026-06-01 00:00:26.966666667,4.666666666666667,1.0
9,1,137,137,137,0.8952073324335753,2026-06-01 00:00:00.000000000,2026-06-01 00:00:04.533333332,4.533333333333333,1.0
